,trip_id,arrival_time,departure_time,stop_sequence,trip_headsign,direction_id,route_id,wheelchair_accessible,bikes_allowed,stop_lat,stop_lon,stop_name,is_express
358540,2963675_7206,05:18:00,05:18:00,21,311 Westgate Transit Center WB,0,311,1,1,30.205173,-97.7751,118 Stassney/Congress,False
474698,2966388_10793,05:18:00,05:18:00,16,350 North Lamar Transit Center NB,0,350,1,1,30.27388,-97.697907,Oak Springs NB (Airport/Oak Springs),False
541914,2968288_13272,05:18:00,05:18:00,21,5 Tannehill EB,0,5,1,1,30.315713,-97.736377,Sunshine Station (SB),False
548102,2968325_13375,05:18:00,05:18:00,29,5 Northcross WB,1,5,1,1,30.275304,-97.752067,1005 Lamar/10th,False
621039,2972286_19124,05:18:00,05:18:00,45,7 Airport/Highland NB,1,7,1,1,30.288776,-97.734397,2525 San Jacinto/Dean Keeton,False
721291,2973948_22239,05:18:00,05:18:00,11,837 Downtown SB,0,837,1,1,30.302693,-97.699868,Barbara Jordan SB (Berkman/Barbara Jordan),True
506252,2975924_11670,05:18:01,05:18:01,15,4 Shady EB,1,4,1,1,30.262511,-97.722327,Chicon/East 7th,False
365131,2964171_7404,05:18:08,05:18:08,6,315 S. Congress Transit Center EB,0,315,1,1,30.235685,-97.828488,5107 290 Hwy/Staggerbrush,False
411695,2965412_9025,05:18:08,05:18:08,18,333 Thaxton EB,1,333,1,1,30.211188,-97.831853,7201 Brodie/Convict Hill,False
377844,2964508_7809,05:18:11,05:18:11,20,322 Hancock Center NB,1,322,1,1,30.284125,-97.721478,Dean Keeton/Lafayette,False
58711,2959807_0785,05:18:19,05:18:19,46,10 Southpark Meadows SB,0,10,1,1,30.235098,-97.764161,3001 S 1st/Powell,False
548103,2968325_13375,05:18:19,05:18:19,30,5 Northcross WB,1,5,1,1,30.276741,-97.751339,1117 Lamar/12th,False
368268,2964269_7570,05:18:22,05:18:22,21,318 Thaxton EB,0,318,1,1,30.193687,-97.831489,West Gate/Piney Creek,False
676123,2973210_20605,05:18:25,05:18:25,15,801 Southpark Meadows SB,1,801,1,1,30.291085,-97.741379,UT Dean Keeton Station (SB),True
14164,2959677_0191,05:18:26,05:18:26,29,1 Tech Ridge Park & Ride NB,1,1,1,1,30.277383,-97.741894,Lavaca/15th,False
474699,2966388_10793,05:18:28,05:18:28,17,350 North Lamar Transit Center NB,0,350,1,1,30.27541,-97.698904,1181 Airport/Oak Springs,False
22282,2959568_0299,05:18:33,05:18:33,13,1 William Cannon SB,0,1,1,1,30.374311,-97.690809,10503 Lamar/Meadows,False
347363,2963413_6842,05:18:34,05:18:34,2,310 ACC Riverside EB,0,310,1,1,30.219246,-97.757736,525 Ben White/Terry O,False
349954,2963448_6941,05:18:34,05:18:34,19,310 S. Congress Transit Center WB,1,310,1,1,30.219261,-97.743912,Woodward/Parker SW Corner,False
352212,2963741_7044,05:18:34,05:18:34,11,311 ACC RIVERSIDE EB,1,311,1,1,30.21814,-97.80326,2313 Stassney/Fernview,False
116296,2961013_2500,05:18:35,05:18:35,18,20 Springdale NB,0,20,1,1,30.249906,-97.738594,1000 East Riverside/Travis Heights,False
478638,2966423_10894,05:18:35,05:18:35,17,350 ACC Riverside SB,1,350,1,1,30.288136,-97.707262,3822 Airport/38th Half,False
262308,2962835_5592,05:18:39,05:18:39,26,30 Westgate Transit Center SB,1,30,1,1,30.329566,-97.753292,Hancock/West Frances Place,False
417608,2965347_9161,05:18:39,05:18:39,18,333 Oak Hill WB,0,333,1,1,30.19479,-97.78349,William Cannon/Sunstrip,False
472040,2966220_10589,05:18:43,05:18:43,10,345 Hancock Center EB,1,345,1,1,30.306867,-97.724157,507 45th/Duval,False
245797,2962803_5379,05:18:45,05:18:45,4,30 NORTHCROSS NB,0,30,1,1,30.258478,-97.811286,2701 Walsh Tarlton/Capital of Texas,False
